Company Name,Exchange:Ticker,Industry Group,Country,Broad Group,Sub Group
"024 Pharma, Inc. (OTCPK:EEIG)",OTCPK:EEIG,Household Products,United States,United States,United States
"1-800-FLOWERS.COM, Inc. (NasdaqGS:FLWS)",NasdaqGS:FLWS,Retail (Online),United States,United States,United States
"10x Genomics, Inc. (NasdaqGS:TXG)",NasdaqGS:TXG,Heathcare Information and Technology,United States,United States,United States
12 ReTech Corporation (OTCPK:RETC),OTCPK:RETC,Software (System & Application),United States,United States,United States
"1347 Property Insurance Holdings, Inc. (NasdaqGM:PIH)",NasdaqGM:PIH,Insurance (Prop/Cas.),United States,United States,United States
180 Degree Capital Corp. (NasdaqGM:TURN),NasdaqGM:TURN,Investments & Asset Management,United States,United States,United States
1847 Holdings LLC (OTCPK:EFSH),OTCPK:EFSH,Environmental & Waste Services,United States,United States,United States
"1895 Bancorp of Wisconsin, Inc. (NasdaqCM:BCOW)",NasdaqCM:BCOW,Financial Svcs. (Non-bank & Insurance),United States,United States,United States
"1mage Software, Inc. (OTCPK:ISOL)",OTCPK:ISOL,Software (System & Application),United States,United States,United States
"1PM Industries, Inc. (OTCPK:OPMZ)",OTCPK:OPMZ,Business & Consumer Services,United States,United States,United States
1st Capital Bank (OTCPK:FISB),OTCPK:FISB,Banks (Regional),United States,United States,United States
"1st Colonial Bancorp, Inc. (OTCPK:FCOB)",OTCPK:FCOB,Banks (Regional),United States,United States,United States
1st Constitution Bancorp (NasdaqGM:FCCY),NasdaqGM:FCCY,Banks (Regional),United States,United States,United States
1st NRG Corp. (OTCPK:FNRC),OTCPK:FNRC,Oil/Gas (Production and Exploration),United States,United States,United States
1st Prestige Wealth Management (OTCPK:FPWM),OTCPK:FPWM,Investments & Asset Management,United States,United States,United States
1st Source Corporation (NasdaqGS:SRCE),NasdaqGS:SRCE,Banks (Regional),United States,United States,United States
"22nd Century Group, Inc. (AMEX:XXII)",AMEX:XXII,Tobacco,United States,United States,United States
"24/7 Kid Doc, Inc. (OTCPK:TVMD)",OTCPK:TVMD,Healthcare Support Services,United States,United States,United States
"2U, Inc. (NasdaqGS:TWOU)",NasdaqGS:TWOU,Software (System & Application),United States,United States,United States
"3D MakerJet, Inc. (OTCPK:MRJT)",OTCPK:MRJT,Computers/Peripherals,United States,United States,United States
3D Pioneer Systems Inc. (OTCPK:DPSM),OTCPK:DPSM,Software (System & Application),United States,United States,United States
3D Systems Corporation (NYSE:DDD),NYSE:DDD,Computers/Peripherals,United States,United States,United States
3DShopping.com (OTCPK:THDS),OTCPK:THDS,Software (Internet),United States,United States,United States
"3DX Industries, Inc. (OTCPK:DDDX)",OTCPK:DDDX,Machinery,United States,United States,United States
3M Company (NYSE:MMM),NYSE:MMM,Diversified,United States,United States,United States
"420 Property Management, Inc. (OTCPK:FTPM)",OTCPK:FTPM,Real Estate (Operations & Services),United States,United States,United States
4Front Ventures Corp. (CNSX:FFNT),CNSX:FFNT,Drugs (Pharmaceutical),United States,United States,United States
"665 Energy, Inc. (OTCPK:SSOF)",OTCPK:SSOF,Retail (Distributors),United States,United States,United States
